Borough Name,Approved On Street,Approved From Street,Approved To Street,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,Shape_STLe,the Geom,StartDate,EndDate,ApprovedDays
Brooklyn,JORALEMON STREET,HICKS STREET,FURMAN STREET,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,200.370158403,"MULTILINESTRING ((-73.99831508288476 40.69374250071127, -73.99761164805767 40.693616812686074))",2021-05-01,2021-09-26,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,AITKEN PLACE,CLINTON STREET,SIDNEY PLACE,11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,,,,,302.274466076,"MULTILINESTRING ((-73.99446660542172 40.69245082916322, -73.99344048466499 40.692170949819555))",2021-09-13,2022-06-17,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,REMSEN STREET,CLINTON STREET,HENRY STREET,09:15,15:00,09:15,15:00,09:15,15:00,09:15,15:00,09:15,15:00,,,,,552.767301199,"MULTILINESTRING ((-73.99462151255486 40.69413638077917, -73.992746547464 40.69362130967684))",2021-07-01,2022-06-30,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,MONROE PLACE,CLARK STREET,PIERREPONT STREET,09:30,16:00,09:30,16:00,09:30,16:00,09:30,16:00,09:30,16:00,,,,,778.709667757,"MULTILINESTRING ((-73.99212630254549 40.69724226778367, -73.99308361108231 40.69523291623117))",2021-10-04,2022-08-30,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,MAIN STREET,WATER STREET,PLYMOUTH STREET,,,,,,,,,11:00,21:00,11:00,21:00,11:00,21:00,242.63403424,"MULTILINESTRING ((-73.99066631992035 40.70392444637981, -73.99067285133331 40.70325849137951))",2021-04-23,2021-12-19,"['Friday', 'Saturday', 'Sunday']"
Manhattan,CANAL STREET,ESSEX STREET,ORCHARD STREET,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,12:00,23:00,10:00,23:00,157.959579593,"MULTILINESTRING ((-73.99022301256988 40.71442145428202, -73.99075804124429 40.71457058699408))",2021-04-01,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,HOYT STREET,SCHERMERHORN STREET,ATLANTIC AVENUE,,,,,,,,,12:00,23:00,12:00,23:00,12:00,23:00,260.548486291,"MULTILINESTRING ((-73.98657110328725 40.68842475715669, -73.98700289736449 40.687789619531976))",2021-04-23,2021-10-31,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,STATE STREET,SMITH STREET,NEVINS STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,675.532356638,"MULTILINESTRING ((-73.98657110328725 40.68842475715669, -73.98440215416124 40.68758089148424))",2021-04-24,2021-11-13,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,JEFFERSON STREET,EAST BROADWAY,MADISON STREET,,,,,,,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,272.111257433,"MULTILINESTRING ((-73.98860262393175 40.71352743143392, -73.98848660752282 40.712785786272356))",2021-06-24,2021-12-25,"['Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,,,,,,,,,,,,,12:00,20:00,285.003920543,"MULTILINESTRING ((-73.96595367212812 40.6342824217963, -73.96508549768288 40.63470016452931))",2021-07-11,2021-08-29,['Sunday']
Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,,,,,,,,,,,,,12:00,20:00,284.450266873,"MULTILINESTRING ((-73.96508549768288 40.63470016452931, -73.96421852945393 40.635116522371916))",2021-07-11,2021-08-29,['Sunday']
Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,,,,,,,,,,,,,12:00,20:00,161.759499545,"MULTILINESTRING ((-73.9633515140188 40.635534559419234, -73.96285786672013 40.63577058110807))",2021-07-11,2021-08-29,['Sunday']
Brooklyn,CARROLL STREET,6th AVENUE,7th AVENUE,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,,778.747258026,"MULTILINESTRING ((-73.9788256553451 40.67418751196837, -73.97632520750871 40.673215664094))",2021-09-20,2022-05-27,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,5th AVENUE,STERLING PLACE,BERKELEY PLACE,,,,,,,,,,,11:00,22:30,11:00,22:00,257.752308918,"MULTILINESTRING ((-73.9791801253082 40.678327270911836, -73.97960094412208 40.677696498767666))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,,,,,,,,,,,11:00,22:30,11:00,22:00,220.080252233,"MULTILINESTRING ((-73.97788890248353 40.68023328443868, -73.97825192425402 40.67969614265767))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,,,,,,,,,,,11:00,22:30,11:00,22:00,40.0511449817,"MULTILINESTRING ((-73.97781860828594 40.68032931078394, -73.97788890248353 40.68023328443868))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,LINCOLN PLACE,7th AVENUE,8th AVENUE,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,,778.976760641,"MULTILINESTRING ((-73.974599237823 40.67574782471196, -73.97209858181117 40.67477481530447))",2021-09-20,2022-05-27,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,331.714740011,"MULTILINESTRING ((-73.96629844747737 40.67619623046836, -73.96661541462883 40.675318311691015))",2021-04-05,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,332.84278868,"MULTILINESTRING ((-73.96597736879616 40.67707649740992, -73.96629844747737 40.67619623046836))",2021-04-05,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,289.876427181,"MULTILINESTRING ((-73.96506980968582 40.67960242156702, -73.96534390006462 40.67883462657317))",2021-04-05,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,290.652637611,"MULTILINESTRING ((-73.96795671792495 40.68020586894013, -73.96822951306991 40.679435599367075))",2021-04-02,2021-11-21,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,289.384405448,"MULTILINESTRING ((-73.96768115174802 40.680971958630295, -73.96795671792495 40.68020586894013))",2021-04-02,2021-11-21,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,ST MARKS AVENUE,GRAND AVENUE,CLASSON AVENUE,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,,,,,895.876068139,"MULTILINESTRING ((-73.962549219191 40.67730311889739, -73.95943549081802 40.676649775329096))",2021-08-30,2022-06-30,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,289.863734896,"MULTILINESTRING ((-73.96479306841033 40.68036962969244, -73.96506980968582 40.67960242156702))",2021-04-05,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,TOMPKINS AVENUE,GATES AVENUE,HALSEY STREET,,,,,,,,,,,,,10:00,20:00,270.156503579,"MULTILINESTRING ((-73.94418610419619 40.68472206036728, -73.94403950170951 40.68398898860361))",2021-05-02,2021-10-03,['Sunday']
Brooklyn,TOMPKINS AVENUE,GATES AVENUE,HALSEY STREET,,,,,,,,,,,,,10:00,20:00,269.732793492,"MULTILINESTRING ((-73.94389400368368 40.6832559891649, -73.94374746460682 40.68252408669262))",2021-05-02,2021-10-03,['Sunday']
Brooklyn,TOMPKINS AVENUE,GATES AVENUE,HALSEY STREET,,,,,,,,,,,,,10:00,20:00,270.066276963,"MULTILINESTRING ((-73.94462413437878 40.68692086894316, -73.9444781360555 40.68618797743567))",2021-05-02,2021-10-03,['Sunday']
Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,273.836003866,"MULTILINESTRING ((-73.97354305903076 40.691724116036944, -73.9725562965743 40.691695995181306))",2021-09-08,2021-12-31,['Monday']
Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,285.4705185,"MULTILINESTRING ((-73.97055219889721 40.691618371800075, -73.96952402352177 40.691580066455984))",2021-09-08,2021-12-31,['Monday']
Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,269.067995932,"MULTILINESTRING ((-73.96849560347358 40.69156131100703, -73.96753409773576 40.69166028936452))",2021-09-08,2021-12-31,['Monday']
Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,270.681035967,"MULTILINESTRING ((-73.96753409773576 40.69166028936452, -73.96656915530444 40.691772190060654))",2021-09-08,2021-12-31,['Monday']
Brooklyn,HALL STREET,PARK AVENUE,MYRTLE AVENUE,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,821.236968575,"MULTILINESTRING ((-73.96636224206631 40.695677043417604, -73.96590825050923 40.69344958109857))",2021-04-14,2023-04-15,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,301.504393706,"MULTILINESTRING ((-73.96360369019001 40.71384203297953, -73.96407415310868 40.71309590947182))",2021-09-08,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,254.667676034,"MULTILINESTRING ((-73.96320471683971 40.714471669298106, -73.96360369019001 40.71384203297953))",2021-09-08,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,219.232998831,"MULTILINESTRING ((-73.96229142110052 40.71559604846705, -73.96278045752685 40.71512315140366))",2021-09-08,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,HEYWARD STREET,MARCY AVENUE,HARRISON AVENUE,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,,,,,695.503327882,"MULTILINESTRING ((-73.95381483077983 40.703197492464064, -73.95190373342666 40.70443401413987))",2021-08-23,2022-04-29,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,LOCUST AVENUE,CONEY ISLAND AVENUE,EAST 12th STREET,10:00,14:00,10:00,14:00,22:00,14:00,22:00,14:00,,,,,,,290.254727359,"MULTILINESTRING ((-73.96389221465552 40.618017028952046, -73.96293465468618 40.61833685938541))",2021-09-01,2022-06-16,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
Brooklyn,EAST 7th STREET,CATON AVENUE,KERMIT PLACE,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,294.337017098,"MULTILINESTRING ((-73.97367038804467 40.6484103994077, -73.97350683671083 40.64761216976447))",2021-09-13,2022-06-28,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,,,,,,,,,,,,,12:00,20:00,399.186005223,"MULTILINESTRING ((-73.9671881655592 40.633720261352074, -73.96595367212812 40.6342824217963))",2021-07-11,2021-08-29,['Sunday']
Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,,,,,,,,,,,,,12:00,20:00,284.786787557,"MULTILINESTRING ((-73.96421852945393 40.635116522371916, -73.9633515140188 40.635534559419234))",2021-07-11,2021-08-29,['Sunday']
Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,,,,,,,,,,,,,12:00,20:00,122.688672892,"MULTILINESTRING ((-73.96285786672013 40.63577058110807, -73.96248344799372 40.63594958994132))",2021-07-11,2021-08-29,['Sunday']
Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,,,,,,,,,,,,,12:00,20:00,295.360620884,"MULTILINESTRING ((-73.96248344799372 40.63594958994132, -73.96158538311458 40.6363845332668))",2021-07-11,2021-08-29,['Sunday']
Brooklyn,7th STREET,PROSPECT PARK WEST,8th AVENUE,11:30,13:30,11:30,13:30,11:30,13:30,11:30,13:30,11:30,13:30,,,,,781.939686996,"MULTILINESTRING ((-73.97821551517244 40.66697980472257, -73.97583419561813 40.66583157559247))",2021-09-08,2022-06-24,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,5th AVENUE,STERLING PLACE,BERKELEY PLACE,,,,,,,,,,,11:00,22:30,11:00,22:00,41.9142882716,"MULTILINESTRING ((-73.97910848489784 40.67842856583422, -73.9791801253082 40.678327270911836))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,STERLING PLACE,BERKELEY PLACE,,,,,,,,,,,11:00,22:30,11:00,22:00,260.138995659,"MULTILINESTRING ((-73.97867957425953 40.67906354813186, -73.97910848489784 40.67842856583422))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,,,,,,,,,,,11:00,22:30,11:00,22:00,220.787496415,"MULTILINESTRING ((-73.97745745109026 40.68086936108505, -73.97781860828594 40.68032931078394))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,,,,,,,,,,,11:00,22:30,11:00,22:00,260.151509555,"MULTILINESTRING ((-73.97702604421227 40.68150340721566, -73.97745745109026 40.68086936108505))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,,,,,,,,,,,11:00,22:30,11:00,22:00,258.804595776,"MULTILINESTRING ((-73.97659872286034 40.682134900454464, -73.97702604421227 40.68150340721566))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,SOUTH PORTLAND AVENUE,DEKALB AVENUE,FULTON STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,324.69433415,"MULTILINESTRING ((-73.97461944491491 40.6872072107071, -73.97444282971392 40.68632619806462))",2021-09-08,2021-12-31,['Monday']
Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,332.340103691,"MULTILINESTRING ((-73.96886227928293 40.67768111847031, -73.96918045056263 40.67680167034713))",2021-04-02,2021-11-21,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,331.918439237,"MULTILINESTRING ((-73.96854501205469 40.678559556392045, -73.96886227928293 40.67768111847031))",2021-04-02,2021-11-21,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,328.847440519,"MULTILINESTRING ((-73.96661541462883 40.675318311691015, -73.96693871779222 40.67444991131555))",2021-04-05,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,330.946898839,"MULTILINESTRING ((-73.96822951306991 40.679435599367075, -73.96854501205469 40.678559556392045))",2021-04-02,2021-11-21,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,332.028925933,"MULTILINESTRING ((-73.96566149498283 40.677955540217184, -73.96597736879616 40.67707649740992))",2021-04-05,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,332.17024107,"MULTILINESTRING ((-73.96534390006462 40.67883462657317, -73.96566149498283 40.677955540217184))",2021-04-05,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,PACIFIC STREET,VANDERBILT AVENUE,UNDERHILL AVENUE,,,,,,,,,17:00,22:00,12:00,22:00,12:00,22:00,830.557037527,"MULTILINESTRING ((-73.96768115174802 40.680971958630295, -73.96479306841033 40.68036962969244))",2021-04-09,2021-11-21,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,DOWNING STREET,GATES AVENUE,PUTNAM AVENUE,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,,,,,810.602396304,"MULTILINESTRING ((-73.96115765139407 40.68501810532975, -73.96072087663751 40.68281817114173))",2021-09-13,2022-06-30,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,PROSPECT PLACE,NEW YORK AVENUE,BROOKLYN AVENUE,08:00,17:00,08:00,17:00,8:00,17:00,08:00,17:00,,,,,,,769.970341605,"MULTILINESTRING ((-73.94731509460001 40.67417838895438, -73.9445469522507 40.674021686192475))",2021-07-06,2021-08-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
Brooklyn,TOMPKINS AVENUE,GATES AVENUE,HALSEY STREET,,,,,,,,,,,,,10:00,20:00,269.973137578,"MULTILINESTRING ((-73.94433111318263 40.68545480692027, -73.94418610419619 40.68472206036728))",2021-05-02,2021-10-03,['Sunday']
Brooklyn,TOMPKINS AVENUE,GATES AVENUE,HALSEY STREET,,,,,,,,,,,,,10:00,20:00,270.209554453,"MULTILINESTRING ((-73.9444781360555 40.68618797743567, -73.94433111318263 40.68545480692027))",2021-05-02,2021-10-03,['Sunday']
Brooklyn,SOUTH PORTLAND AVENUE,DEKALB AVENUE,FULTON STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,923.319254582,"MULTILINESTRING ((-73.97510853803419 40.689714015142414, -73.97461944491491 40.6872072107071))",2021-09-08,2021-12-31,['Monday']
Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,275.931939594,"MULTILINESTRING ((-73.9725562965743 40.691695995181306, -73.9715625937131 40.69165716785332))",2021-09-08,2021-12-31,['Monday']
Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,280.554477617,"MULTILINESTRING ((-73.9715625937131 40.69165716785332, -73.97055219889721 40.691618371800075))",2021-09-08,2021-12-31,['Monday']
Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,285.279008973,"MULTILINESTRING ((-73.96952402352177 40.691580066455984, -73.96849560347358 40.69156131100703))",2021-09-08,2021-12-31,['Monday']
Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,271.273408333,"MULTILINESTRING ((-73.96656915530444 40.691772190060654, -73.96560276328597 40.691887603238946))",2021-09-08,2021-12-31,['Monday']
Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,193.806547854,"MULTILINESTRING ((-73.9653719689905 40.71102262770223, -73.96549496113136 40.71049897241576))",2021-09-08,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,316.051569004,"MULTILINESTRING ((-73.96446548347994 40.712476002194265, -73.96496065319728 40.711694617648405))",2021-09-08,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,250.55582894,"MULTILINESTRING ((-73.96407415310868 40.71309590947182, -73.96446548347994 40.712476002194265))",2021-09-08,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,264.896285086,"MULTILINESTRING ((-73.96278045752685 40.71512315140366, -73.96320471683971 40.714471669298106))",2021-09-08,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,GRAND STREET,MARCY AVENUE,ROEBLING STREET,,,,,,,,,17:00,23:00,10:00,23:00,10:00,23:00,469.735548258,"MULTILINESTRING ((-73.95834494236229 40.71332281691541, -73.95681238176088 40.71277290457496))",2021-04-09,2021-11-21,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,GRAND STREET,MARCY AVENUE,ROEBLING STREET,,,,,,,,,17:00,23:00,10:00,23:00,10:00,23:00,410.698514855,"MULTILINESTRING ((-73.95681238176088 40.71277290457496, -73.95547882636703 40.712281942329234))",2021-04-09,2021-11-21,"['Friday', 'Saturday', 'Sunday']"
Manhattan,STAPLE STREET,DUANE STREET,JAY STREET,09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,,,,,244.460065916,"MULTILINESTRING ((-74.00963788991459 40.71734906180133, -74.00949676610807 40.718011398771864))",2021-06-30,2022-07-29,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Manhattan,READE STREET,HUDSON STREET,GREENWICH STREET,,,16:00,23:00,16:00,23:00,16:00,23:00,16:00,23:00,16:00,23:00,,,525.245753392,"MULTILINESTRING ((-74.00920830151317 40.71620446734618, -74.01083649783136 40.7169417894845))",2021-04-01,2021-10-31,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']"
Manhattan,WASHINGTON STREET,WEST 10 STREET,CHRISTOPHER STREET,08:00,16:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,,276.969779174,"MULTILINESTRING ((-74.00863624516604 40.73265963809943, -74.00855654393385 40.73341743079161))",2021-09-09,2022-06-17,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Manhattan,BLEECKER STREET,BANK STREET,6th AVENUE,,,,,,,,,,,10:00,20:00,10:00,19:00,242.291694352,"MULTILINESTRING ((-74.00456424182013 40.73402614973198, -74.00474995869304 40.7346760029175))",2021-06-05,2021-06-27,"['Saturday', 'Sunday']"
Manhattan,BLEECKER STREET,BANK STREET,6th AVENUE,,,,,,,,,,,10:00,20:00,10:00,19:00,240.189564655,"MULTILINESTRING ((-74.00474995869304 40.7346760029175, -74.0049341160956 40.735320209626664))",2021-06-05,2021-06-27,"['Saturday', 'Sunday']"
Manhattan,BLEECKER STREET,BANK STREET,6th AVENUE,,,,,,,,,,,10:00,20:00,10:00,19:00,245.759312071,"MULTILINESTRING ((-74.0049341160956 40.735320209626664, -74.00512906305032 40.73597825721092))",2021-06-05,2021-06-27,"['Saturday', 'Sunday']"
Manhattan,BLEECKER STREET,BANK STREET,6th AVENUE,,,,,,,,,,,10:00,20:00,10:00,19:00,242.35072107,"MULTILINESTRING ((-74.00512906305032 40.73597825721092, -74.00531670990985 40.7366279561342))",2021-06-05,2021-06-27,"['Saturday', 'Sunday']"
Manhattan,WEST 13th STREET,9th AVENUE,WASHINGTON STREET,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,512.377640592,"MULTILINESTRING ((-74.00586716282486 40.740277965935746, -74.0074853077618 40.740958431424694))",2021-04-02,2022-01-03,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,SPRING STREET,THOMPSON STREET,SULLIVAN STREET,,,,,17:00,23:00,17:00,23:00,16:00,00:00,11:00,00:00,11:00,23:00,249.759021392,"MULTILINESTRING ((-74.00262193003408 40.72489655470224, -74.00337911192008 40.72526819224288))",2021-04-01,2021-11-30,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,DOYERS STREET,PELL STREET,BOWERY,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,544.582819493,"MULTILINESTRING ((-74.00116941754443 40.731791325775994, -74.0029460097951 40.73115273441234))",2021-06-01,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
