Borough Name,Approved On Street,Approved From Street,Approved To Street,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,Shape_STLe,the Geom,StartDate,EndDate,ApprovedDays
Brooklyn,5 AVENUE,78 STREET,80 STREET,,,,,,,,,16:00,23:00,,,,,280.114665224,"MULTILINESTRING ((-74.02385619198535 40.626530951724995, -74.02415633350466 40.62579689223777))",2021-06-25,2021-10-29,['Friday']
Brooklyn,5 AVENUE,78 STREET,80 STREET,,,,,,,,,16:00,23:00,,,,,277.726339036,"MULTILINESTRING ((-74.02355965725887 40.62725900136183, -74.02385619198535 40.626530951724995))",2021-06-25,2021-10-29,['Friday']
Brooklyn,5 AVENUE,BAY RIDGE PARKWAY,77 STREET,,,,,,,,,16:00,23:00,,,,,278.526986158,"MULTILINESTRING ((-74.02296243485172 40.62871779335296, -74.02326086121292 40.6279878890178))",2021-06-25,2021-10-29,['Friday']
Brooklyn,5 AVENUE,OVINGTON AVENUE,73 STREET,,,,,,,,,16:00,23:00,,,,,267.105919694,"MULTILINESTRING ((-74.0217399927726 40.63170436323243, -74.02202664529547 40.63100449599372))",2021-06-25,2021-10-29,['Friday']
Brooklyn,5 AVENUE,OVINGTON AVENUE,73 STREET,,,,,,,,,16:00,23:00,,,,,339.755348348,"MULTILINESTRING ((-74.02137746132334 40.63259508102175, -74.0217399927726 40.63170436323243))",2021-06-25,2021-10-29,['Friday']
Brooklyn,67th STREET,4th AVENUE,3rd AVENUE,07:30,16:45,07:30,16:45,07:30,16:45,07:30,16:45,07:30,17:45,,,,,774.324087952,"MULTILINESTRING ((-74.02509358410889 40.63781105577848, -74.02262863257043 40.636815530281126))",2021-09-13,2022-07-01,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,REED STREET,VAN BRUNT STREET,CONOVER STREET,,,12:00,22:00,12:00,22:00,12:00,22:00,12:00,23:00,12:00,23:00,12:00,22:00,454.115102858,"MULTILINESTRING ((-74.0160392157357 40.674695888150076, -74.0172659730067 40.675521275766215))",2021-03-27,2021-12-26,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,82nd STREET,24th AVENUE,STILLWELL AVENUE,08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30,,,,,340.382923165,"MULTILINESTRING ((-73.98702765318863 40.60155020827952, -73.98606255775603 40.60097421127113))",2021-09-09,2022-06-24,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
Brooklyn,48th STREET,7th AVENUE,8th AVENUE,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,,,,,780.080643637,"MULTILINESTRING ((-74.00474935554477 40.64358346496128, -74.00254775607944 40.642252245360126))",2021-09-13,2022-06-27,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,6th AVENUE,45th STREET,44th STREET,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,,,258.269051548,"MULTILINESTRING ((-74.00462457147205 40.647147496730504, -74.00520559509775 40.64659371544105))",2021-07-06,2021-08-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
Brooklyn,WEST 9th STREET,HENRY STREET,HICKS STREET,8:00,19:00,8:00,19:00,8:00,19:00,8:00,19:00,8:00,19:00,8:00,19:00,,,463.967961623,"MULTILINESTRING ((-74.0047669290906 40.67672606598186, -74.00319653452095 40.67628755069496))",2021-05-01,2021-11-12,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,SUMMIT STREET,HENRY STREET,HICKS STREET,12:30,14:30,12:30,14:30,12:30,14:30,12:30,14:30,12:30,14:30,,,,,459.637057386,"MULTILINESTRING ((-74.00225511133115 40.68190971271022, -74.0006970434578 40.68147990823644))",2021-09-13,2022-06-15,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,17th STREET,Calder Place,PROSPECT PARK WEST,,,,,,,,,,,10:00,20:00,10:00,20:00,382.588286696,"MULTILINESTRING ((-73.98774315333812 40.66161935867607, -73.98668458659006 40.660946357966004))",2021-06-05,2021-09-06,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,15 STREET,16th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,260.109990451,"MULTILINESTRING ((-73.9893156111655 40.665582832634996, -73.98981760139874 40.664979839430615))",2021-05-01,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,10th STREET,13th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,260.412847501,"MULTILINESTRING ((-73.98780679411252 40.66739008126739, -73.98830948698284 40.66678643656719))",2021-04-02,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,WYCKOFF STREET,HOYT STREET,4th AVENUE,,,,,,,,,10:00,20:00,08:00,20:00,08:00,20:00,680.904506909,"MULTILINESTRING ((-73.98656591508161 40.68440525819403, -73.98437698759714 40.68355895698759))",2021-04-24,2021-10-09,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,PACIFIC STREET,NEVINS STREET,SMITH STREET,,,,,,,,,,,08:00,20:00,08:00,20:00,675.925142468,"MULTILINESTRING ((-73.9874321266491 40.68715515624357, -73.98526208306767 40.686310613126956))",2021-04-24,2021-10-09,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,259.922214655,"MULTILINESTRING ((-73.98378911032374 40.67220980516228, -73.98429149708184 40.67160759032154))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,260.308345993,"MULTILINESTRING ((-73.98328485869291 40.672812375000774, -73.98378911032374 40.67220980516228))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,STATE STREET,SMITH STREET,NEVINS STREET,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,675.224392888,"MULTILINESTRING ((-73.98440215416124 40.68758089148424, -73.98223452573153 40.6867369571233))",2021-04-24,2021-11-13,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,259.93970906,"MULTILINESTRING ((-73.98227974649012 40.67401664664993, -73.98278396869335 40.67341525827026))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,2nd STREET,6th AVENUE,7th AVENUE,10:30,13:30,10:30,13:30,10:30,13:30,10:30,13:30,10:30,13:30,,,,,775.622808076,"MULTILINESTRING ((-73.98042134542435 40.67227286500471, -73.97806324819402 40.67112891104756))",2021-09-13,2022-06-27,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,259.720732835,"MULTILINESTRING ((-73.98177770439948 40.67461838162234, -73.98227974649012 40.67401664664993))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,233.971093956,"MULTILINESTRING ((-73.9813290221892 40.67516218479335, -73.98177770439948 40.67461838162234))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,STERLING PLACE,BERKELEY PLACE,,,,,,,,,,,11:00,22:30,11:00,22:00,259.473507734,"MULTILINESTRING ((-73.97960094412208 40.677696498767666, -73.98003455306905 40.67706543278891))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Manhattan,PEARL STREET,BROAD STREET,WALL STREET,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,390.894841169,"MULTILINESTRING ((-74.01049900856712 40.70382120901987, -74.00945753652297 40.70454436616417))",2021-05-14,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,STONE STREET,HANOVER SQUARE,COENTIES SLIP,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,231.920470859,"MULTILINESTRING ((-74.01070927311407 40.70415721652539, -74.010617826262 40.70419579481957, -74.01052926830911 40.7042380990943, -74.01044386428362 40.70428400236008, -74.01036186264913 40.704333370425125, -74.01028350713658 40.70438605649148, -74.0102090320117 40.704441905657745, -74.01013865379191 40.70450075311863, -74.01007258189583 40.70456242326349))",2021-09-25,2022-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,PEARL STREET,BROAD STREET,WALL STREET,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,328.844381274,"MULTILINESTRING ((-74.00890398715198 40.704878356094014, -74.00870251834625 40.70497256593064, -74.008510599837 40.70507913693182, -74.00833012356254 40.705197171197725, -74.00816283237168 40.70532555202363, -74.00801016619873 40.7054629718233))",2021-05-14,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,PEARL STREET,BROAD STREET,WALL STREET,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,39.8066678301,"MULTILINESTRING ((-74.00801016619873 40.7054629718233, -74.00795151057314 40.705562697648396))",2021-05-14,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,ANN STREET,BROADWAY,NASSAU STREET,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,134.458897945,"MULTILINESTRING ((-74.00776124122653 40.71082179755116, -74.0073782424759 40.71059537934483))",2021-05-24,2021-11-24,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,PECK SLIP,PEARL STREET,WATER STREET,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,,,,,267.377222329,"MULTILINESTRING ((-74.00250543453737 40.70886214074247, -74.00190237770882 40.708289434343044))",2021-09-13,2035-06-29,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,CONGRESS STREET,HENRY STREET,CLINTON STREET,08:00,20:00,08:00,20:00,8:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,552.209203724,"MULTILINESTRING ((-73.99720499367274 40.688765873626856, -73.99533614504102 40.68824281282963))",2021-05-15,2021-11-01,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,LIVINGSTON STREET,COURT STREET,CLINTON STREET,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,587.923108417,"MULTILINESTRING ((-73.99344048466499 40.692170949819555, -73.9914511393579 40.6916130855341))",2021-09-08,2022-06-10,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,POPLAR STREET,HICKS STREET,HENRY STREET,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,,,,,472.565286303,"MULTILINESTRING ((-73.99305665945519 40.701152893518184, -73.99145616185402 40.700707121508366))",2021-09-13,2022-06-28,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Manhattan,CANAL STREET,ESSEX STREET,ORCHARD STREET,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,12:00,23:00,10:00,23:00,225.982416635,"MULTILINESTRING ((-73.99113570861111 40.71468514451704, -73.9918927513407 40.71491518078504))",2021-04-01,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,CANAL STREET,ESSEX STREET,ORCHARD STREET,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,12:00,23:00,10:00,23:00,112.709381637,"MULTILINESTRING ((-73.99075804124429 40.71457058699408, -73.99113570861111 40.71468514451704))",2021-04-01,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,PEARL STREET,FULTON STREET,DEAD END,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,,,,,171.35509129,"MULTILINESTRING ((-73.98818882657729 40.69229352286686, -73.9882098975225 40.69182346615205))",2021-09-07,2022-06-30,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,DECATUR STREET,HOWARD AVENUE,SARATOGA AVENUE,,,,,,,,,,,08:00,20:00,8:00,20:00,246.472355447,"MULTILINESTRING ((-73.98818882657729 40.69229352286686, -73.98730183095871 40.69225058201935))",2021-05-14,2021-08-28,"['Saturday', 'Sunday']"
Brooklyn,PEARL STREET,FULTON STREET,DEAD END,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,,,,,376.866044733,"MULTILINESTRING ((-73.98815060682641 40.69332752409495, -73.98818882657729 40.69229352286686))",2021-09-07,2022-06-30,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,WASHINGTON STREET,FRONT STREET,WATER STREET,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,246.748284717,"MULTILINESTRING ((-73.98958600693497 40.70321630827651, -73.98962637900763 40.702539739293584))",2021-04-02,2021-12-05,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,JEFFERSON STREET,EAST BROADWAY,MADISON STREET,,,,,,,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,247.41273405,"MULTILINESTRING ((-73.98870479820664 40.71420205544773, -73.98860262393175 40.71352743143392))",2021-06-24,2021-12-25,"['Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,HOYT STREET,SCHERMERHORN STREET,ATLANTIC AVENUE,,,,,,,,,12:00,23:00,12:00,23:00,12:00,23:00,249.91462084,"MULTILINESTRING ((-73.98615822397757 40.689034481995876, -73.98657110328725 40.68842475715669))",2021-04-23,2021-10-31,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,LAWRENCE STREET,WILLOUGHBY STREET,FULTON STREET,,,,,,,,,16:00,00:00,11:00,,11:00,20:00,417.21786631,"MULTILINESTRING ((-73.98627519812509 40.692211299968235, -73.98633423281305 40.6910670149246))",2021-06-04,2021-11-30,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,HANOVER PLACE,LIVINGSTON STREET,FULTON STREET,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,,179.622872468,"MULTILINESTRING ((-73.98241911244132 40.68891278948199, -73.98271759420204 40.688475239124394))",2021-09-13,2022-07-04,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,HANOVER PLACE,LIVINGSTON STREET,FULTON STREET,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,,190.04514752,"MULTILINESTRING ((-73.98210025917814 40.689374514663015, -73.98241911244132 40.68891278948199))",2021-09-13,2022-07-04,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,ROCKWELL PLACE,FULTON STREET,DEKALB AVENUE,,,,,,,17:00,00:00,17:00,00:00,17:00,00:00,,,589.495895753,"MULTILINESTRING ((-73.97951317441829 40.68987950542842, -73.97928830667759 40.68827055367122))",2021-06-17,2021-11-27,"['Thursday', 'Friday', 'Saturday']"
Brooklyn,EAST 18th STREET,QUENTIN ROAD,AVENUE R,,,,,,,,,,,12:00,20:00,12:00,20:00,905.289709961,"MULTILINESTRING ((-73.95533707750923 40.60858960551178, -73.95487224659341 40.60613015354677))",2021-05-08,2021-09-26,"['Saturday', 'Sunday']"
Brooklyn,17th STREET,Calder Place,PROSPECT PARK WEST,,,,,,,,,,,10:00,20:00,10:00,20:00,779.965560346,"MULTILINESTRING ((-73.98448311755779 40.65961483034003, -73.98227790534999 40.65828708608275))",2021-06-05,2021-09-06,"['Saturday', 'Sunday']"
