"","MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","lat","lon","POP_DENOMINATOR","COVID_CONFIRMED_DEATH_COUNT","COVID_PROBABLE_DEATH_COUNT","COVID_DEATH_COUNT","COVID_CONFIRMED_DEATH_RATE","COVID_DEATH_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS"
"128",11355,"Flushing/Murray Hill/Queensboro Hill","Queens",40.751459,-73.821014,78852.89,387,62,449,490.79,569.41,23.22,72199
"129",11356,"College Point","Queens",40.784867,-73.841495,22814.02,73,4,77,319.98,337.51,23.79,22906
"130",11357,"Whitestone","Queens",40.78639,-73.810964,38714.77,175,25,200,452.02,516.6,23.06,34690
"131",11358,"Auburndale/Murray Hill","Queens",40.760475,-73.79637,36024.61,100,13,113,277.59,313.67,20.39,31266
"132",11360,"Bayside (North)","Queens",40.78205,-73.7808,19045.39,71,11,82,372.79,430.55,19.47,15558
"133",11361,"Bayside (North)/Bayside (South)","Queens",40.763748,-73.772419,26370.6,108,21,129,409.55,489.18,19.68,23008
"134",11362,"Douglaston-Little Neck","Queens",40.756533,-73.736995,18101.72,76,10,86,419.85,475.09,18.98,14387
"135",11363,"Douglaston-Little Neck","Queens",40.772803,-73.746444,6735.31,13,1,14,193.01,207.86,16.6,5746
"136",11364,"Bayside (South)/Oakland Gardens","Queens",40.745279,-73.760578,35688.29,67,12,79,187.74,221.36,19.39,28092
"137",11365,"Auburndale/Fresh Meadows/Pomonok/Utopia","Queens",40.739775,-73.794806,43815.08,145,20,165,330.94,376.58,20.91,36751
"138",11366,"Fresh Meadows/Hillcrest","Queens",40.728136,-73.784981,14208.14,53,10,63,373.03,443.41,22.11,11653
"139",11367,"Kew Gardens Hills/Pomonok","Queens",40.730383,-73.826297,40676.04,129,16,145,317.14,356.48,22.28,36182
"140",11368,"Corona/North Corona","Queens",40.749594,-73.852604,110369.78,577,67,644,522.79,583.49,23.33,111127
"141",11369,"Airport/East Elmhurst","Queens",40.768944,-73.872812,33627.74,237,46,283,704.78,841.57,24.43,39603
"142",11370,"Jackson Heights/Rikers Island","Queens",40.763466,-73.891021,31777.34,103,19,122,324.13,383.92,24.79,29436
"143",11372,"Jackson Heights","Queens",40.75169,-73.883634,60682.72,368,48,416,606.43,685.53,22.78,65890
"144",11373,"Elmhurst","Queens",40.738823,-73.8785,91655.7,404,72,476,440.78,519.33,24.1,96054
"145",11374,"Rego Park","Queens",40.726441,-73.861497,41393.74,182,16,198,439.68,478.33,24.52,40787
"146",11375,"Forest Hills","Queens",40.720931,-73.846184,71266.52,328,31,359,460.24,503.74,21,62655
"147",11377,"Woodside","Queens",40.744823,-73.90516,84048.11,340,62,402,404.53,478.3,24.15,86730
"148",11378,"Maspeth","Queens",40.724768,-73.909399,36145.45,117,18,135,323.69,373.49,24.72,32380
"149",11379,"Middle Village","Queens",40.716758,-73.879597,36636.49,192,19,211,524.07,575.93,25.06,31941
"150",11385,"Glendale/Ridgewood","Queens",40.701058,-73.890159,103615.19,276,39,315,266.37,304.01,25.93,88569
"151",11411,"Cambria Heights","Queens",40.694202,-73.735998,21378.1,73,10,83,341.47,388.25,23.83,16689
"152",11412,"St. Albans","Queens",40.698095,-73.758984,38097.58,151,16,167,396.35,438.35,24.63,34058
"153",11413,"Laurelton/Rosedale","Queens",40.669738,-73.750842,43206.88,173,17,190,400.4,439.74,24,35862
"154",11414,"Hamilton Beach/Howard Beach/Lindenwood","Queens",40.658266,-73.844905,28358.4,147,16,163,518.37,574.79,29.29,22945
"155",11415,"Kew Gardens","Queens",40.708323,-73.828212,18873.03,85,11,96,450.38,508.66,23.51,17541
"156",11416,"Ozone Park","Queens",40.684652,-73.849549,26389.62,116,9,125,439.57,473.67,26.09,26534
"157",11417,"Ozone Park","Queens",40.676457,-73.844522,31041.34,110,8,118,354.37,380.14,26.41,28535
"158",11418,"Richmond Hill","Queens",40.700236,-73.836062,37585.6,149,14,163,396.43,433.68,25.89,34320
"159",11419,"Richmond Hill/South Ozone Park","Queens",40.688676,-73.822901,48504.92,194,27,221,399.96,455.62,25.63,43720
"160",11420,"South Ozone Park","Queens",40.673518,-73.817812,47835.06,194,21,215,405.56,449.46,25.53,42602
"161",11421,"Woodhaven","Queens",40.69405,-73.85867,40049.5,182,18,200,454.44,499.38,28.83,38054
"162",11422,"Rosedale","Queens",40.660819,-73.73608,32389.06,117,14,131,361.23,404.46,24.52,27224
"163",11423,"Hollis/Holliswood","Queens",40.71491,-73.767865,31138.4,170,41,211,545.95,677.62,22.97,30092
"164",11426,"Bellerose","Queens",40.736521,-73.722384,20163.58,64,3,67,317.4,332.28,24.16,16269
"165",11427,"Bellerose/Hollis Hills/Holliswood","Queens",40.730915,-73.745611,23572.82,86,8,94,364.83,398.76,23.43,21289
"166",11428,"Queens Village","Queens",40.721015,-73.742206,18580.92,93,10,103,500.51,554.33,23.56,17732
"167",11429,"Queens Village","Queens",40.709772,-73.738731,32168.3,130,13,143,404.12,444.54,23.04,26325
"168",11432,"Hillcrest/Jamaica Estates/Jamaica Hills","Queens",40.715359,-73.793064,60754.71,371,62,433,610.65,712.7,22.12,59331
"169",11433,"Jamaica","Queens",40.69823,-73.787095,36521.92,170,20,190,465.47,520.24,23.51,33895
"170",11434,"Airport/South Jamaica/Springfield Gardens/St. Albans","Queens",40.656866,-73.783386,66763.37,316,50,366,473.31,548.2,22.85,60004
"171",11435,"Briarwood/Jamaica","Queens",40.701291,-73.809618,58415.04,254,34,288,434.82,493.02,23.31,50509
"172",11436,"South Jamaica/South Ozone Park","Queens",40.675819,-73.796618,20042.54,77,9,86,384.18,429.09,23.9,18055
"173",11691,"Edgemere/Far Rockaway","Queens",40.60133,-73.761357,66856.31,525,81,606,785.27,906.42,26.16,64746
"174",11692,"Arverne/Edgemere","Queens",40.592794,-73.792203,21029.13,124,29,153,589.66,727.56,23.97,18143
"175",11693,"Arverne/Broad Channel","Queens",40.603699,-73.821926,12672.14,50,12,62,394.57,489.26,26.57,9989
"176",11694,"Belle Harbor-Neponsit/Rockaway Park","Queens",40.577599,-73.844553,20779.4,110,24,134,529.37,644.87,26.95,17827
"177",11697,"Breezy Point","Queens",40.55907,-73.907199,3392.62,16,3,19,471.61,560.04,26.97,4371
