"","modzcta","modzcta_name","lat","lon","people_tested","people_positive","percentpositivity_7day","adequately_tested"
"38",10044,"Roosevelt Island",40.761931,-73.949924,448,9,2.01,"Yes"
"39",10065,"Lenox Hill/Upper East Side",40.764616,-73.963135,1490,55,3.69,"Yes"
"40",10069,"Lincoln Square",40.775924,-73.990256,431,12,2.78,"Yes"
"41",10075,"Lenox Hill/Upper East Side",40.773132,-73.955884,942,30,3.18,"Yes"
"42",10128,"Upper East Side/Yorkville",40.781466,-73.950226,2195,73,3.33,"Yes"
"43",10280,"Battery Park City",40.709318,-74.016654,312,6,1.92,"Yes"
"44",10282,"Battery Park City",40.716409,-74.015077,178,3,1.69,"Yes"
"45",10301,"Silver Lake/St. George",40.628224,-74.096232,1148,32,2.79,"Yes"
"46",10302,"Elm Park",40.630598,-74.137891,532,19,3.57,"Yes"
"47",10303,"Graniteville/Mariner's Harbor/Port Ivory",40.632135,-74.169166,807,24,2.97,"Yes"
"48",10304,"New Dorp/Todt Hill",40.605985,-74.0943,1242,44,3.54,"Yes"
"49",10305,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",40.595474,-74.075437,1034,34,3.29,"Yes"
"50",10306,"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",40.571571,-74.125541,1507,61,4.05,"Yes"
"51",10307,"Tottenville",40.507771,-74.24227,370,12,3.24,"Yes"
"52",10308,"Great Kills",40.551574,-74.150454,681,26,3.82,"Yes"
"53",10309,"Charleston/Prince's Bay/Woodrow",40.531355,-74.220574,820,41,5,"Yes"
"54",10310,"Port Richmond/Randall Manor/West Brighton",40.632398,-74.11618,696,14,2.01,"Yes"
"55",10312,"Annadale/Rossville",40.545128,-74.18169,1446,78,5.39,"Yes"
"56",10314,"Bloomfield/Freshkills Park",40.599333,-74.166462,2412,82,3.4,"Yes"
"57",10451,"Concourse/Melrose",40.820705,-73.923865,1583,24,1.52,"Yes"
"58",10452,"Concourse/Highbridge",40.837364,-73.923461,2208,25,1.13,"Yes"
"59",10453,"Morris Heights/Mount Hope/University Heights",40.852304,-73.913578,2326,33,1.42,"Yes"
"60",10454,"Mott Haven/Port Morris",40.805487,-73.916605,1370,19,1.39,"Yes"
