"","MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","lat","lon","POP_DENOMINATOR","COVID_CONFIRMED_CASE_COUNT","COVID_PROBABLE_CASE_COUNT","COVID_CASE_COUNT","COVID_CONFIRMED_CASE_RATE","COVID_CASE_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS"
"45",10301,"Silver Lake/St. George","Staten Island",40.628224,-74.096232,38904.96,10306,1445,11751,26490.19,30204.37,26.46,38097
"46",10302,"Elm Park","Staten Island",40.630598,-74.137891,18484.97,5570,1159,6729,30132.59,36402.55,29.75,17844
"47",10303,"Graniteville/Mariner's Harbor/Port Ivory","Staten Island",40.632135,-74.169166,26512.59,7649,1324,8973,28850.44,33844.3,28.82,25307
"48",10304,"New Dorp/Todt Hill","Staten Island",40.605985,-74.0943,41886.87,12075,1433,13508,28827.65,32248.77,27.03,43087
"49",10305,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island",40.595474,-74.075437,42856.19,12163,1362,13525,28380.97,31559.04,29.21,39729
"50",10306,"Lighthouse Hill/Midland Beach/New Dorp/Oakwood","Staten Island",40.571571,-74.125541,52806.81,16613,2991,19604,31459.96,37124,30.13,52687
"51",10307,"Tottenville","Staten Island",40.507771,-74.24227,14912.16,4520,627,5147,30310.84,34515.46,32.2,13289
"52",10308,"Great Kills","Staten Island",40.551574,-74.150454,29820.74,8659,1163,9822,29036.84,32936.81,31.66,25837
"53",10309,"Charleston/Prince's Bay/Woodrow","Staten Island",40.531355,-74.220574,32939.56,10745,1577,12322,32620.35,37407.9,32.55,31306
"54",10310,"Port Richmond/Randall Manor/West Brighton","Staten Island",40.632398,-74.11618,23441.55,6600,1599,8199,28155.14,34976.36,26.65,23545
"55",10312,"Annadale/Rossville","Staten Island",40.545128,-74.18169,61052.73,18761,2870,21631,30729.17,35430.03,31.47,56582
"56",10314,"Bloomfield/Freshkills Park","Staten Island",40.599333,-74.166462,92523.87,24511,4356,28867,26491.54,31199.52,28.4,82590
"57",10451,"Concourse/Melrose","Bronx",40.820705,-73.923865,47367.12,12113,2483,14596,25572.59,30814.62,24.21,48335
"58",10452,"Concourse/Highbridge","Bronx",40.837364,-73.923461,75212.41,17560,3079,20639,23347.21,27440.95,24.32,69700
"59",10453,"Morris Heights/Mount Hope/University Heights","Bronx",40.852304,-73.913578,78677.58,17788,3383,21171,22608.73,26908.55,23.67,72447
"60",10454,"Mott Haven/Port Morris","Bronx",40.805487,-73.916605,37829.72,9367,1943,11310,24760.95,29897.12,24.74,36211
"61",10455,"Mott Haven","Bronx",40.8147,-73.908583,41893.78,10345,1909,12254,24693.4,29250.17,24.46,40666
"62",10456,"Claremont/Morrisania","Bronx",40.829884,-73.908121,93192.84,19066,3958,23024,20458.65,24705.76,22.23,83300
"63",10457,"Belmont/Claremont/Mount Hope/Tremont","Bronx",40.847151,-73.898676,73721.56,16679,2937,19616,22624.32,26608.23,23.76,67783
"64",10458,"Belmont/Fordham University/Kingsbridge","Bronx",40.862531,-73.88817,82740.43,17938,3378,21316,21679.85,25762.5,24.5,70773
"65",10459,"Charlotte Gardens/Hunts Point","Bronx",40.82584,-73.892976,47872.88,11100,2615,13715,23186.41,28648.79,22.42,47781
"66",10460,"Charlotte Gardens/Tremont/Van Nest/West Farms","Bronx",40.841753,-73.879584,58874.7,14019,2991,17010,23811.59,28891.87,24.77,54548
"67",10461,"Morris Park/Pelham Bay/Westchester Square","Bronx",40.847415,-73.840601,49097.83,12472,2859,15331,25402.35,31225.41,25.1,47914
"68",10462,"Parkchester/Pelham Parkway/Van Nest/Westchester Square","Bronx",40.842874,-73.858772,75315.82,17969,4378,22347,23858.2,29671.06,23.82,72787
"69",10463,"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil","Bronx",40.880824,-73.906514,69983.86,14011,3372,17383,20020.33,24838.58,21.49,64047
"70",10464,"City Island","Bronx",40.872311,-73.804653,4285.4,800,174,974,18668.06,22728.36,20.5,3775
"71",10465,"Country Club/Throgs Neck","Bronx",40.823931,-73.822886,43122.23,10298,2288,12586,23880.95,29186.8,25.49,39025
"72",10466,"Edenwald/Wakefield","Bronx",40.890965,-73.845912,71310.11,14807,2514,17321,20764.24,24289.68,22.82,63062
"73",10467,"Allerton/Norwood/Pelham Parkway/Williamsbridge","Bronx",40.880939,-73.873956,102058.58,24181,4547,28728,23693.26,28148.54,24.52,95446
"74",10468,"Fordham/Kingsbridge/University Heights","Bronx",40.868161,-73.899844,77811.41,18091,3164,21255,23249.8,27316.05,24.52,71946
"75",10469,"Allerton/Baychester/Pelham Gardens/Williamsbridge","Bronx",40.86876,-73.846984,72616.96,15029,2975,18004,20696.27,24793.11,22.8,64550
"76",10470,"Wakefield/Woodlawn","Bronx",40.895986,-73.86802,14991.78,3292,771,4063,21958.7,27101.51,22.45,14036
"77",10471,"Fieldston/North Riverdale/Riverdale","Bronx",40.899509,-73.901518,21241.06,4194,984,5178,19744.78,24377.32,18.64,22694
"78",10472,"Soundview","Bronx",40.829561,-73.869393,67979.13,15694,3154,18848,23086.5,27726.16,23.9,63462
"79",10473,"Castle Hill/Clason Point/Soundview","Bronx",40.818135,-73.858718,59110.54,15185,2678,17863,25689.16,30219.66,25.53,57467
"80",10474,"Hunts Point","Bronx",40.810595,-73.884618,11975.58,2449,584,3033,20449.94,25326.53,22.65,10493
"81",10475,"Co-op City/Edenwald","Bronx",40.868941,-73.824854,42737.28,8172,2222,10394,19121.48,24320.69,21.86,36409
"82",11004,"Bellerose/Douglaston-Little Neck","Queens",40.748068,-73.710907,18949.5,3150,545,3695,16623.13,19499.2,18.27,18264
"83",11101,"Astoria (South)/Long Island City/Sunnyside","Queens",40.747077,-73.938586,36835.54,8686,2000,10686,23580.49,29010.03,17.27,48809
"84",11102,"Astoria (North)","Queens",40.772498,-73.925912,30044.75,7206,1666,8872,23984.22,29529.28,21.37,32665
"85",11103,"Astoria (North)/Astoria (South)","Queens",40.762536,-73.913541,34937.39,8834,1918,10752,25285.24,30775.06,22.96,36909
"86",11104,"Sunnyside","Queens",40.744658,-73.920205,25437.08,5260,1042,6302,20678.48,24774.86,20.67,24543
"87",11105,"Ditmars Steinway","Queens",40.778969,-73.906286,36189.85,7150,2318,9468,19756.92,26162.03,21.79,32023
"88",11106,"Astoria (South)","Queens",40.761792,-73.931771,37428.62,8158,1570,9728,21796.15,25990.8,21.66,36467
"89",11109,"Long Island City","Queens",40.746211,-73.956999,5762.76,1167,144,1311,20250.73,22749.53,15.74,7103
"90",11201,"Brooklyn Heights/DUMBO/Downtown Brooklyn","Brooklyn",40.694609,-73.989581,62294.06,10772,2295,13067,17292.18,20976.32,15,70277
"91",11203,"East Flatbush (North)/East Flatbush (South)","Brooklyn",40.649576,-73.934363,73314.38,15298,1847,17145,20866.3,23385.59,22.01,66827
"92",11204,"Bensonhurst/Mapleton","Brooklyn",40.618774,-73.984824,77087.49,16280,3327,19607,21118.86,25434.74,21.71,72327
"93",11205,"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene","Brooklyn",40.694625,-73.966212,45332.4,8812,1499,10311,19438.64,22745.32,18.26,46852
"94",11206,"Williamsburg (South)","Brooklyn",40.701957,-73.942361,86709.93,19544,3270,22814,22539.52,26310.71,21.57,87414
"95",11207,"Cypress Hills/East New York","Brooklyn",40.670819,-73.894255,89031.83,22217,2599,24816,24954,27873.18,24.41,88289
