,Latitude,Longitude,Restaurant Name,Legal Business Name,Postcode,Food Service Establishment Permit #,Business Address,Landmark District or Building
7084,,,Rips Malt Shop,Rips Malt Shop,11205,50084344,"10 10 clermont Av, Brooklyn, NY",no
7085,40.719322,-73.987817,CLUCK'S,ESSEX CHICKEN LLC,10002,50100731,"115 ESSEX STREET, Manhattan, NY",no
7086,40.762005,-73.98156800000001,URBANSPACE WEST 52ND FOOD HALL,"URBANSPACE 787 SEVENTH, LLC",10019,50099389,"152 WEST 52ND STREET, Manhattan, NY",no
7087,40.733309999999996,-74.004868,I SODI,I SODI LLC,10014,413116656,"105  CHRISTOPHER STREET, Manhattan, NY",yes
7088,40.719783,-73.98472199999999,Izzie's Cheesesteaks,TheRiveraGroupLLC,10002,50979453,"47  Clinton Street, Manhattan, NY",no
7089,40.716243,-74.006915,Tribeca's Kitchen,200 Tribeca Restaurant LLC,10013,50012144,"200 Church Street, Manhattan, NY",yes
7090,40.759413,-73.925269,Napoli pizza & pasta,Napoli Italian,11106,41390818,"33 02  33rd st , Queens, NY",no
7091,40.717836,-73.959197,Partners Coffee,Partners Coffee Retail LLC,11249,50103299,"125 North 6th Street, Brooklyn, NY",no
7092,40.589811,-74.164284,Holy Schnitzel,Shabat Catering LLC,10314,50094590,"438 Nome Ave , Staten Island, NY",no
7093,40.753848,-73.766246,5 DE MAYO IN NY INC,5 DE MAYO IN NY INC,11361,50014390,"4929  BELL BLVD, Queens, NY",no
7094,40.761357000000004,-73.98196899999999,Ruth's Chris Steak House,RCSH OPERATIONS LLC,10019,40894838,"148 W. 51st Street, Manhattan, NY",no
7095,40.755944,-73.96775699999999,Murphys Pub and Restaurant,Murphys Pub and Restaurant,10022,40831075,"977 2nd avenue, Manhattan, NY",no
7096,40.57803,-73.959502,KBG Catering Corp,KBG Catering Corp,11235,50045979,"1003  Brighton Beach Ave, Brooklyn, NY",no
7097,40.730515999999994,-73.995136,COLUOMBA BAKERY,LE DELIZIE LLC,10003,50114882,"29 WAVERLY PLACE, Manhattan, NY",no
7098,40.697281,-73.970652,MEALCO,MEALCO INC,11205,50104746,"15 VANDERBILT AVENUE, Brooklyn, NY",no
7099,40.744332,-73.991775,J.J Kinahan's,MBG Taverns on 6th,10010,50085035,"757 6th Avenue, Manhattan, NY",no
7100,40.673624,-73.98258100000001,Le Succulent,Le Comptoir,11215,FA0225879,"291 5th Ave, Brooklyn, NY",no
7101,40.838731,-73.941475,CARROT TOP PASTRIES,CARROT TOP PASTRIES INC,10032,41711831,"3931 BROADWAY, Manhattan, NY",no
7102,40.764032,-73.921495,"HALSEY'S TAVERN, MOM'S KITCHEN &amp; BAR","ASTORIA BRICK, LLC",11102,50012273,"3095 33RD ST, Queens, NY",no
7103,40.745956,-73.95303299999999,Sweet Chick,Sweet Chick Vernon LLC,11101,50075224,"4642 Vernon Blvd, Queens, NY",no
7104,40.764934999999994,-73.917231,ANTIKA PIZZA,DON GENNARO LLC,11103,50079591,"3608 30 AVE, Queens, NY",no
7105,40.624978999999996,-74.079509,Franks bay pizza,Franks bay pizza,10304,50071901,"200 Canal street , Staten Island, NY",no
7106,40.676894,-73.963584,Citrico,Luneta LLC,11216,50008218,"681 Washington Avenue, Brooklyn, NY",no
7107,40.760391,-73.961416,Luscious Thai,Phaya Cuisine Inc,10065,50035991,"1099 1 Ave., Manhattan, NY",yes
7108,40.758340000000004,-73.80425100000001,El Vicentino Restaurant,El Vicentino Restaurant,11358,41170072,"43-37 162 street, Queens, NY",no
7109,40.761989,-73.802912,incheon restaurant,incheon restaurant,11358,41356229,"16225  depot rd., Queens, NY",no
7110,40.641209,-74.007217,Fish and Beef,Fish and Beef,11220,50053768,"5210  7th Avenue, Brooklyn, NY",no
7111,40.655115,-73.959765,Flatbush Zombie House,Flatbush Zombie House,11226,50068695,"734 Flatbush Avenue, Brooklyn, NY",no
7112,40.800348,-73.968035,SERAFINA 105,SERAFINA 2735 CORP,10025,50068505,"2737 BROADWAY, Manhattan, NY",no
7113,40.687469,-73.95471500000001,GREENBERG'S BAGELS 2 LLC,GREENBERG'S BAGELS 2 LLC,11216,50103737,"1065 BEDFORD AVENUE, Brooklyn, NY",no
7114,40.730215,-73.982003,The Phoenix,Hughes Murray Walsh LLC,10009,41618267,"447 East 13th Street, Manhattan, NY",no
7115,40.865466999999995,-73.865199,IZARRA VALENZUELA RESTAURANT INC.,IZARRA VALENZUELA RESTAURANT INC.,10467,50070387,"752 ALLERTON AVENUE, Bronx, NY",no
7116,40.67953,-73.968176,White Tiger,Vanderbergen Inc,11238,50097100,"601  Vanderbilt Ave, Brooklyn, NY",yes
