"","date_of_interest","CASE_COUNT","PROBABLE_CASE_COUNT","HOSPITALIZED_COUNT","DEATH_COUNT","PROBABLE_DEATH_COUNT","CASE_COUNT_7DAY_AVG","ALL_CASE_COUNT_7DAY_AVG"
"140","07/17/2020",413,19,49,9,1,376,394
"141","07/18/2020",216,20,27,9,2,370,389
"142","07/19/2020",176,26,38,7,2,363,384
"143","07/20/2020",401,29,38,8,2,351,373
"144","07/21/2020",340,15,25,6,0,342,364
"145","07/22/2020",329,20,40,6,2,327,348
"146","07/23/2020",308,14,32,7,1,312,332
"147","07/24/2020",298,16,40,5,0,295,315
"148","07/25/2020",153,15,36,11,1,286,306
"149","07/26/2020",140,17,25,7,1,281,299
"150","07/27/2020",312,18,38,3,0,269,285
"151","07/28/2020",313,17,37,12,1,265,281
"152","07/29/2020",287,23,30,5,0,259,276
"153","07/30/2020",274,11,36,4,1,254,271
"154","07/31/2020",262,23,34,3,1,249,266
"155","08/01/2020",189,12,27,6,1,254,271
"156","08/02/2020",135,10,33,2,0,253,269
"157","08/03/2020",348,25,38,2,1,258,276
"158","08/04/2020",187,19,32,4,2,240,258
"159","08/05/2020",298,21,39,5,1,242,259
"160","08/06/2020",288,18,34,5,1,244,262
"161","08/07/2020",255,25,23,2,0,243,261
"162","08/08/2020",160,25,20,4,0,239,259
"163","08/09/2020",133,17,27,3,0,238,260
"164","08/10/2020",312,31,41,5,0,233,256
"165","08/11/2020",263,27,25,4,1,244,268
"166","08/12/2020",320,19,30,1,2,247,270
"167","08/13/2020",276,34,38,3,3,246,271
"168","08/14/2020",277,21,38,2,1,249,274
"169","08/15/2020",151,15,24,4,1,247,271
"170","08/16/2020",140,19,21,5,0,248,272
"171","08/17/2020",333,25,34,5,0,251,274
"172","08/18/2020",283,26,39,1,1,254,277
"173","08/19/2020",257,39,35,1,0,245,271
"174","08/20/2020",227,21,36,7,0,238,262
"175","08/21/2020",252,27,31,3,1,235,259
"176","08/22/2020",136,21,27,6,1,233,258
"177","08/23/2020",150,20,22,3,0,234,260
"178","08/24/2020",297,22,36,8,0,229,254
"179","08/25/2020",283,19,41,3,0,229,253
"180","08/26/2020",313,24,27,6,1,237,259
"181","08/27/2020",274,22,31,1,0,244,266
"182","08/28/2020",280,18,22,5,1,248,268
"183","08/29/2020",128,25,22,2,2,246,268
"184","08/30/2020",186,21,20,4,2,252,273
"185","08/31/2020",315,16,42,1,0,254,275
"186","09/01/2020",294,34,20,3,0,256,279
"187","09/02/2020",271,25,28,4,1,250,273
"188","09/03/2020",273,29,18,4,1,250,274
"189","09/04/2020",230,19,32,5,0,242,267
"190","09/05/2020",156,11,22,3,0,246,269
"191","09/06/2020",207,24,31,7,0,249,272
"192","09/07/2020",217,23,20,0,0,235,259
"193","09/08/2020",393,23,26,2,0,250,272
"194","09/09/2020",353,31,32,3,0,261,284
"195","09/10/2020",323,28,25,3,1,268,291
"196","09/11/2020",313,31,32,4,1,280,305
"197","09/12/2020",202,25,11,4,0,287,313
"198","09/13/2020",263,27,17,3,0,295,322
"199","09/14/2020",462,27,32,5,0,330,357
"200","09/15/2020",414,49,30,3,1,333,364
"201","09/16/2020",457,37,46,6,0,348,380
"202","09/17/2020",441,35,34,5,0,365,398
"203","09/18/2020",292,38,36,3,0,362,396
"204","09/19/2020",217,23,21,5,0,364,397
"205","09/20/2020",221,26,24,5,0,358,391
"206","09/21/2020",559,53,29,3,0,372,409
"207","09/22/2020",497,56,34,3,1,383,422
"208","09/23/2020",613,65,38,4,1,406,448
"209","09/24/2020",542,72,41,3,1,420,468
"210","09/25/2020",463,57,46,4,0,445,495
"211","09/26/2020",280,33,27,5,0,454,505
"212","09/27/2020",382,48,35,2,2,477,531
"213","09/28/2020",437,41,38,3,2,459,512
"214","09/29/2020",723,71,50,7,0,491,547
"215","09/30/2020",605,83,51,8,1,490,548
"216","10/01/2020",705,79,41,5,1,514,572
"217","10/02/2020",605,82,49,3,0,534,596
"218","10/03/2020",300,42,25,5,1,537,600
"219","10/04/2020",335,64,44,7,0,530,596
"220","10/05/2020",766,116,56,0,0,577,654
"221","10/06/2020",571,72,47,3,1,555,632
"222","10/07/2020",542,83,45,4,0,546,623
"223","10/08/2020",525,76,47,5,1,521,597
"224","10/09/2020",524,91,54,2,0,509,587
"225","10/10/2020",314,45,38,4,0,511,589
"226","10/11/2020",281,49,49,7,0,503,579
"227","10/12/2020",515,69,51,8,0,467,537
"228","10/13/2020",588,111,49,5,0,470,545
"229","10/14/2020",583,140,58,6,2,476,559
"230","10/15/2020",605,133,74,8,0,487,578
"231","10/16/2020",503,128,49,7,1,484,581
"232","10/17/2020",366,107,35,5,0,492,597
"233","10/18/2020",412,121,40,4,0,510,626
"234","10/19/2020",626,168,68,7,1,526,656
"235","10/20/2020",601,160,73,5,0,528,665
"236","10/21/2020",653,166,53,5,0,538,678
"237","10/22/2020",759,180,53,4,0,560,707
"238","10/23/2020",601,174,60,5,1,574,728
"239","10/24/2020",386,137,47,1,1,577,735
"240","10/25/2020",362,151,44,9,0,570,732
"241","10/26/2020",695,217,55,4,1,580,749
"242","10/27/2020",742,231,46,8,0,600,779
"243","10/28/2020",783,224,44,4,1,618,806
"244","10/29/2020",621,226,59,4,0,599,793
"245","10/30/2020",654,224,61,10,0,606,808
"246","10/31/2020",403,140,47,4,0,609,810
"247","11/01/2020",501,237,54,13,0,628,843
"248","11/02/2020",953,329,64,10,0,665,895
"249","11/03/2020",903,302,76,12,3,688,929
"250","11/04/2020",1113,379,68,9,0,735,998
"251","11/05/2020",1139,395,85,9,1,809,1096
"252","11/06/2020",1037,420,63,10,1,864,1179
"253","11/07/2020",845,356,60,13,0,927,1273
"254","11/08/2020",788,369,64,8,1,968,1333
"255","11/09/2020",1546,538,78,5,1,1053,1447
"256","11/10/2020",1599,502,87,8,0,1152,1575
"257","11/11/2020",1541,470,99,9,0,1214,1649
"258","11/12/2020",1501,503,79,16,0,1265,1716
"259","11/13/2020",1494,511,92,6,0,1331,1795
"260","11/14/2020",1026,429,101,9,2,1356,1831
"261","11/15/2020",896,421,90,14,0,1372,1854
"262","11/16/2020",1832,527,124,9,0,1413,1893
"263","11/17/2020",1730,546,102,10,0,1431,1918
"264","11/18/2020",1753,532,119,10,2,1462,1957
"265","11/19/2020",1857,519,131,9,1,1513,2010
"266","11/20/2020",1773,511,134,7,3,1552,2050
"267","11/21/2020",1290,354,119,11,0,1590,2077
"268","11/22/2020",1148,413,114,10,0,1626,2112
"269","11/23/2020",2318,583,149,13,1,1696,2190
"270","11/24/2020",2073,599,130,16,2,1745,2246
"271","11/25/2020",2370,634,138,13,0,1833,2349
"272","11/26/2020",817,377,154,7,1,1684,2180
"273","11/27/2020",2298,766,158,15,2,1759,2291
"274","11/28/2020",1835,585,126,14,1,1837,2402
"275","11/29/2020",1881,625,166,15,0,1942,2537
"276","11/30/2020",2893,788,187,18,2,2024,2649
"277","12/01/2020",3299,987,203,20,2,2199,2879
"278","12/02/2020",3129,821,172,27,0,2307,3014
"279","12/03/2020",2939,907,216,18,2,2611,3393
"280","12/04/2020",2816,758,182,26,2,2685,3466
"281","12/05/2020",1887,651,177,23,1,2692,3483
"282","12/06/2020",1756,660,177,21,0,2674,3470
"283","12/07/2020",3302,1009,221,19,1,2733,3560
"284","12/08/2020",3059,906,224,22,1,2698,3514
"285","12/09/2020",3106,963,276,27,2,2695,3531
"286","12/10/2020",3149,905,246,25,3,2725,3561
"287","12/11/2020",2979,891,248,30,1,2748,3603
"288","12/12/2020",2206,583,209,34,1,2794,3639
"289","12/13/2020",2176,897,225,26,5,2854,3733
"290","12/14/2020",3578,1081,264,30,0,2893,3783
"291","12/15/2020",3681,945,236,32,2,2982,3877
"292","12/16/2020",2787,776,215,39,2,2937,3805
"293","12/17/2020",1925,770,229,36,3,2762,3611
"294","12/18/2020",3427,835,275,39,1,2826,3667
"295","12/19/2020",2556,691,240,30,3,2876,3732
"296","12/20/2020",2346,710,243,29,4,2900,3730
"297","12/21/2020",4337,1044,331,41,4,3008,3833
"298","12/22/2020",4099,948,287,53,2,3068,3893
"299","12/23/2020",3844,940,302,39,3,3219,4067
"300","12/24/2020",3015,642,277,39,2,3375,4205
"301","12/25/2020",1045,596,266,39,2,3035,3830
"302","12/26/2020",3456,899,268,37,2,3163,3989
"303","12/27/2020",2888,919,245,44,2,3241,4096
"304","12/28/2020",5391,1195,350,43,3,3391,4268
"305","12/29/2020",5205,1005,323,50,4,3549,4434
"306","12/30/2020",4984,1051,316,40,4,3712,4613
"307","12/31/2020",3393,770,284,41,1,3766,4685
"308","01/01/2021",1340,786,301,36,4,3808,4755
"309","01/02/2021",4202,1067,327,57,2,3915,4885
"310","01/03/2021",3465,1019,302,38,2,3997,4982
"311","01/04/2021",6604,1471,408,61,3,4170,5195
"312","01/05/2021",6154,1396,350,65,5,4306,5386
"313","01/06/2021",5684,1278,379,59,5,4406,5518
"314","01/07/2021",5445,1185,361,52,2,4699,5871
"315","01/08/2021",5296,1091,356,61,3,5264,6480
"316","01/09/2021",3690,894,329,70,2,5191,6382
"317","01/10/2021",3199,1011,309,52,4,5153,6343
"318","01/11/2021",5915,1350,404,58,3,5055,6227
"319","01/12/2021",5235,1190,397,74,5,4923,6066
"320","01/13/2021",5176,1221,430,67,3,4851,5985
"321","01/14/2021",5259,1134,434,65,5,4824,5952
"322","01/15/2021",4845,1082,394,62,6,4760,5886
"323","01/16/2021",3479,912,370,66,3,4730,5858
"324","01/17/2021",2921,1035,336,56,1,4690,5822
"325","01/18/2021",4642,1327,446,73,5,4508,5637
"326","01/19/2021",5140,1340,389,81,5,4495,5645
"327","01/20/2021",4908,1274,376,74,4,4456,5614
"328","01/21/2021",4937,1249,419,63,4,4410,5584
"329","01/22/2021",4711,1224,434,80,7,4391,5586
"330","01/23/2021",3275,1031,325,78,7,4362,5573
"331","01/24/2021",2854,966,336,67,5,4352,5554
"332","01/25/2021",5663,1417,407,65,5,4498,5713
"333","01/26/2021",4699,1234,370,78,4,4435,5635
"334","01/27/2021",4781,1198,426,90,3,4417,5606
"335","01/28/2021",4677,1161,392,86,4,4380,5556
"336","01/29/2021",3669,1005,411,88,2,4231,5376
"337","01/30/2021",2870,823,269,79,5,4173,5288
"338","01/31/2021",2894,951,310,73,2,4179,5292
"339","02/01/2021",975,549,288,65,1,3509,4498
"340","02/02/2021",2660,536,403,77,6,3218,4107
"341","02/03/2021",5145,1083,440,75,2,3270,4143
"342","02/04/2021",4853,1112,431,90,6,3295,4161
"343","02/05/2021",4158,1122,441,81,3,3365,4247
"344","02/06/2021",3080,866,363,76,4,3395,4283
"345","02/07/2021",1646,723,311,78,2,3217,4073
"346","02/08/2021",4431,1167,391,81,4,3710,4655
"347","02/09/2021",3732,1022,396,71,1,3864,4877
"348","02/10/2021",3777,988,361,79,1,3668,4668
"349","02/11/2021",3411,919,321,96,2,3462,4435
"350","02/12/2021",3314,842,345,81,3,3342,4274
"351","02/13/2021",2205,810,279,82,4,3217,4141
"352","02/14/2021",1896,793,247,80,1,3252,4187
"353","02/15/2021",2860,698,321,82,3,3028,3895
"354","02/16/2021",3724,952,351,85,1,3027,3884
"355","02/17/2021",3438,1025,292,81,4,2978,3841
"356","02/18/2021",2048,799,261,54,3,2784,3629
"357","02/19/2021",3019,983,304,57,3,2741,3607
"358","02/20/2021",2494,929,296,69,4,2783,3665
"359","02/21/2021",2285,582,270,59,1,2838,3691
"360","02/22/2021",3613,973,350,74,0,2946,3838
"361","02/23/2021",3473,1057,328,73,6,2910,3817
"362","02/24/2021",3464,996,355,79,4,2914,3816
"363","02/25/2021",3482,974,291,74,7,3119,4046
"364","02/26/2021",3240,979,328,71,5,3150,4077
"365","02/27/2021",2017,790,244,66,2,3082,3989
"366","02/28/2021",2038,880,244,68,3,3047,3997
"367","03/01/2021",3726,1176,324,62,2,3063,4042
"368","03/02/2021",3110,1014,273,53,2,3011,3984
"369","03/03/2021",3242,1125,305,71,3,2979,3970
"370","03/04/2021",3121,1000,298,61,2,2928,3923
"371","03/05/2021",2888,904,257,54,0,2877,3862
"372","03/06/2021",2043,695,243,56,0,2881,3852
"373","03/07/2021",1875,849,246,60,1,2858,3824
"374","03/08/2021",3402,1160,294,68,3,2812,3775
"375","03/09/2021",3342,1073,282,71,1,2845,3817
"376","03/10/2021",3201,1088,281,62,3,2839,3806
"377","03/11/2021",3106,1007,294,56,2,2837,3805
"378","03/12/2021",3203,888,293,73,1,2882,3847
"379","03/13/2021",2176,823,221,63,3,2901,3885
"380","03/14/2021",1924,812,252,40,4,2908,3886
"381","03/15/2021",3392,1090,293,44,3,2906,3875
"382","03/16/2021",3196,986,250,65,1,2885,3842
"383","03/17/2021",3173,1118,277,45,1,2881,3842
"384","03/18/2021",2918,987,306,59,1,2855,3812
"385","03/19/2021",3049,1025,259,45,2,2833,3810
"386","03/20/2021",2159,890,262,49,3,2830,3817
"387","03/21/2021",2089,820,271,50,1,2854,3842
"388","03/22/2021",3881,1249,329,55,1,2924,3934
"389","03/23/2021",3249,1124,282,54,0,2931,3962
"390","03/24/2021",3454,1162,295,42,1,2971,4008
"391","03/25/2021",3798,1216,311,70,3,3097,4166
"392","03/26/2021",3416,1025,312,64,0,3149,4219
"393","03/27/2021",2223,818,265,52,6,3159,4218
"394","03/28/2021",1752,720,209,57,0,3110,4155
"395","03/29/2021",3557,1197,304,48,3,3064,4102
"396","03/30/2021",3188,979,265,42,4,3055,4072
"397","03/31/2021",3186,991,293,61,3,3017,4009
"398","04/01/2021",2865,859,266,57,0,2884,3825
"399","04/02/2021",2618,799,265,54,0,2770,3679
"400","04/03/2021",2051,582,237,48,1,2745,3621
"401","04/04/2021",1467,599,217,47,1,2705,3563
"402","04/05/2021",3270,977,271,53,1,2664,3490
"403","04/06/2021",3002,936,230,46,1,2637,3457
"404","04/07/2021",2762,846,221,44,3,2576,3376
"405","04/08/2021",2574,749,220,54,1,2535,3319
"406","04/09/2021",2468,754,205,54,4,2513,3291
"407","04/10/2021",1723,599,195,49,3,2467,3247
"408","04/11/2021",1315,627,161,53,2,2445,3229
"409","04/12/2021",2533,811,202,41,1,2340,3100
"410","04/13/2021",2363,717,207,36,1,2248,2977
"411","04/14/2021",2241,647,196,35,1,2174,2874
"412","04/15/2021",2016,598,220,41,1,2094,2773
"413","04/16/2021",1834,632,198,31,4,2004,2665
"414","04/17/2021",1275,446,166,35,0,1940,2579
"415","04/18/2021",1056,475,166,35,1,1903,2521
"416","04/19/2021",1881,608,177,41,1,1809,2398
"417","04/20/2021",1604,487,155,35,1,1701,2257
"418","04/21/2021",1416,535,117,35,1,1583,2123
"419","04/22/2021",1360,428,162,41,2,1489,2005
"420","04/23/2021",1288,399,153,46,0,1411,1894
"421","04/24/2021",852,320,104,29,1,1351,1816
"422","04/25/2021",757,284,120,24,2,1308,1746
"423","04/26/2021",1371,366,146,31,0,1235,1638
"424","04/27/2021",1138,356,117,31,2,1169,1553
"425","04/28/2021",1215,380,128,29,3,1140,1502
"426","04/29/2021",1056,317,117,31,1,1097,1443
"427","04/30/2021",963,314,94,38,1,1050,1384
"428","05/01/2021",578,216,77,30,2,1011,1330
"429","05/02/2021",569,207,72,29,0,984,1292
"430","05/03/2021",937,283,89,23,1,922,1218
"431","05/04/2021",876,230,96,27,0,885,1163
"432","05/05/2021",781,219,82,26,1,823,1078
"433","05/06/2021",786,236,82,27,1,784,1028
"434","05/07/2021",715,195,73,37,0,749,975
"435","05/08/2021",385,146,63,24,0,721,938
"436","05/09/2021",343,137,62,26,2,689,896
"437","05/10/2021",654,202,71,27,1,649,844
"438","05/11/2021",628,176,71,22,1,613,800
"439","05/12/2021",594,166,63,18,1,586,766
"440","05/13/2021",516,133,66,25,1,548,713
"441","05/14/2021",486,183,69,28,0,515,678
"442","05/15/2021",292,96,41,9,2,502,658
"443","05/16/2021",280,130,41,16,1,493,648
"444","05/17/2021",453,132,72,16,0,464,609
"445","05/18/2021",415,126,53,14,0,434,572
"446","05/19/2021",377,135,58,14,0,403,536
"447","05/20/2021",395,93,66,14,0,385,513
"448","05/21/2021",349,89,51,13,0,366,480
"449","05/22/2021",233,83,36,17,0,357,470
"450","05/23/2021",187,61,46,12,0,344,447
"451","05/24/2021",355,121,36,10,0,330,431
"452","05/25/2021",305,95,42,6,0,314,411
"453","05/26/2021",249,70,33,5,1,296,384
"454","05/27/2021",257,75,45,9,0,276,361
"455","05/28/2021",210,54,35,13,0,257,336
"456","05/29/2021",126,51,25,9,0,241,317
"457","05/30/2021",119,39,27,8,0,232,304
"458","05/31/2021",118,64,19,12,0,198,262
"459","06/01/2021",288,66,33,12,0,195,255
"460","06/02/2021",244,68,44,11,0,195,254
"461","06/03/2021",206,42,30,11,0,187,242
"462","06/04/2021",224,57,25,7,0,189,245
"463","06/05/2021",142,52,17,6,0,192,247
"464","06/06/2021",130,29,25,5,0,193,247
"465","06/07/2021",219,72,32,7,0,208,263
"466","06/08/2021",176,58,37,10,0,192,246
"467","06/09/2021",211,49,24,9,0,187,238
"468","06/10/2021",156,52,25,6,0,180,232
"469","06/11/2021",188,43,25,6,0,175,225
"470","06/12/2021",121,35,21,5,0,172,220
"471","06/13/2021",116,45,31,6,0,170,220
"472","06/14/2021",181,52,25,7,1,164,212
"473","06/15/2021",180,35,25,6,0,165,209
"474","06/16/2021",174,58,23,6,0,159,205
"475","06/17/2021",188,49,30,9,1,164,209
"476","06/18/2021",160,31,19,8,0,160,204
"477","06/19/2021",107,42,13,11,0,158,203
"478","06/20/2021",97,41,26,5,0,155,199
"479","06/21/2021",169,57,29,3,0,154,198
"480","06/22/2021",171,45,34,7,1,152,198
"481","06/23/2021",188,47,24,5,0,154,199
"482","06/24/2021",175,59,14,5,0,152,198
"483","06/25/2021",180,45,18,5,0,155,203
"484","06/26/2021",118,44,18,3,0,157,205
"485","06/27/2021",110,37,23,1,0,159,206
"486","06/28/2021",206,81,26,6,0,164,215
"487","06/29/2021",213,52,23,4,0,170,222
"488","06/30/2021",225,87,21,4,0,175,233
"489","07/01/2021",205,43,31,4,0,180,235
"490","07/02/2021",232,67,36,6,1,187,246
"491","07/03/2021",146,58,21,6,0,191,252
"492","07/04/2021",124,48,24,4,0,193,255
"493","07/05/2021",187,68,15,1,0,190,251
"494","07/06/2021",361,111,24,3,0,211,280
"495","07/07/2021",400,106,23,2,0,236,308
"496","07/08/2021",367,124,25,2,0,260,343
"497","07/09/2021",370,123,37,2,0,279,370
"498","07/10/2021",238,118,20,2,0,292,392
"499","07/11/2021",267,110,27,4,0,313,421
"500","07/12/2021",475,168,25,4,1,354,477
"501","07/13/2021",459,192,26,3,0,368,502
"502","07/14/2021",547,203,47,2,0,389,537
"503","07/15/2021",553,233,28,5,0,416,579
"504","07/16/2021",556,184,37,5,0,442,615
"505","07/17/2021",340,149,37,6,0,457,634
"506","07/18/2021",393,196,38,2,1,475,664
"507","07/19/2021",811,301,53,5,0,523,731
"508","07/20/2021",706,228,53,4,0,558,771
"509","07/21/2021",893,254,47,2,1,607,828
"510","07/22/2021",972,323,52,3,0,667,901
"511","07/23/2021",917,299,51,3,1,719,969
"512","07/24/2021",552,255,42,2,0,749,1014
"513","07/25/2021",635,283,41,4,0,784,1061
"514","07/26/2021",1225,394,62,1,1,843,1134
"515","07/27/2021",1199,372,72,5,0,913,1225
"516","07/28/2021",1242,445,76,6,0,963,1302
"517","07/29/2021",1289,388,76,8,0,1008,1356
"518","07/30/2021",1280,379,80,9,0,1060,1420
"519","07/31/2021",850,323,70,4,0,1103,1472
"520","08/01/2021",830,328,48,11,1,1131,1506
"521","08/02/2021",1567,454,75,4,0,1180,1564
"522","08/03/2021",1582,461,99,3,0,1234,1631
"523","08/04/2021",1607,429,89,9,0,1286,1681
"524","08/05/2021",1527,522,89,6,1,1320,1734
"525","08/06/2021",1576,419,115,11,0,1363,1782
"526","08/07/2021",1150,336,87,14,0,1406,1827
"527","08/08/2021",1071,332,99,6,0,1440,1862
"528","08/09/2021",1890,447,131,9,1,1486,1907
"529","08/10/2021",1665,441,119,6,0,1498,1916
"530","08/11/2021",1753,272,138,9,0,1519,1914
"531","08/12/2021",1758,360,125,6,0,1552,1924
"532","08/13/2021",1600,457,140,9,0,1555,1933
"533","08/14/2021",1048,316,94,10,0,1541,1916
"534","08/15/2021",1143,327,113,6,1,1551,1925
"535","08/16/2021",1928,515,131,6,0,1556,1940
"536","08/17/2021",1744,445,136,15,1,1568,1952
"537","08/18/2021",1813,462,111,13,1,1576,1988
